Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Central African Republic,2152.0,2056.0,2057.0,2043.0,2340.0,2052.0,2179.0,2255.0,2354.0,2480.0,2607.0,2681.0,2843.0,2873.0,2738.0,2819.0,2945.0,3001.0,3042.0,3045.0,3068.0,3004.0,2880.0,2720.0,2642.0,2718.0,2626.0,2665.0,2698.0,2851.0,2998.0,3044.0,3107.0,3075.0,3157.0,3314.0,3466.0,3667.0,3502.0,3687.0,3716.0,3698.0,3637.0,3764.0,3879.0,3934.0,4085.0,4232.0,4340.0,4529.0,4671.0,4754,4187
Costa Rica,1247.0,1309.0,1364.0,1454.0,1532.0,1581.0,1627.0,1733.0,1798.0,1909.0,2055.0,2045.0,2094.0,2195.0,2304.0,2456.0,2527.0,2655.0,2762.0,2836.0,2905.0,2692.0,2954.0,3056.0,3264.0,3366.0,3447.0,3725.0,4352.0,4583.0,4441.0,4650.0,4760.0,5269.0,5022.0,5405.0,5707.0,5935.0,6302.0,6408.0,6722.0,6715.0,6506.0,6096.0,6574.0,7204.0,7116.0,7094.0,7138.0,7390.0,7839.0,8057,8267
Finland,14257.0,13392.0,14311.0,13612.0,14669.0,14575.0,14668.0,15125.0,15061.0,15055.0,14532.0,14518.0,14652.0,14390.0,14868.0,15701.0,14636.0,15267.0,15085.0,16139.0,16297.0,15893.0,15380.0,15268.0,14983.0,14875.0,13810.0,14456.0,14969.0,14901.0,13797.0,13703.0,13207.0,13711.0,13951.0,14118.0,14409.0,14548.0,14364.0,14508.0,14906.0,14810.0,15281.0,15085.0,15111.0,14580.0,15526.0,15567.0,15633.0,15254.0,15835.0,16137,16183
Ireland,11603.0,11925.0,11453.0,10910.0,11705.0,11656.0,12082.0,12278.0,12025.0,12239.0,12412.0,11910.0,11572.0,11055.0,10681.0,10825.0,11120.0,10916.0,11759.0,11963.0,11970.0,13257.0,13148.0,13126.0,12283.0,12609.0,11850.0,11991.0,11159.0,11943.0,11496.0,11424.0,11510.0,12016.0,12293.0,11903.0,12727.0,12420.0,13535.0,13383.0,14547.0,15409.0,15416.0,15756.0,15474.0,15220.0,15227.0,16917.0,15851.0,15786.0,15572.0,16010,18160
Kuwait,374.0,416.0,459.0,540.0,634.0,719.0,831.0,910.0,941.0,1023.0,1068.0,1162.0,1196.0,1303.0,1406.0,1594.0,1741.0,1943.0,2131.0,2328.0,2477.0,2666.0,2810.0,3016.0,3122.0,3303.0,3560.0,3670.0,3809.0,2580.0,1230.0,2196.0,2502.0,2947.0,3144.0,3168.0,3355.0,3555.0,3704.0,3945.0,4070.0,3597.0,3634.0,3667.0,4310.0,4868.0,4852.0,4954.0,5420.0,5332.0,5369.0,5644,7167
Liberia,1128.0,1154.0,1179.0,1191.0,1208.0,1269.0,1274.0,1308.0,1292.0,1407.0,1467.0,1443.0,1469.0,1514.0,1501.0,1601.0,1721.0,1755.0,1836.0,1843.0,1880.0,1929.0,1909.0,1886.0,1979.0,2064.0,2129.0,2252.0,2150.0,1891.0,1769.0,1759.0,1760.0,1644.0,1622.0,1809.0,2084.0,2230.0,2356.0,2594.0,2624.0,2720.0,2702.0,2832.0,2991.0,2864.0,2998.0,3013.0,3012.0,3096.0,3298.0,3290,3380
Mauritania,852.0,862.0,875.0,888.0,898.0,920.0,946.0,964.0,977.0,983.0,972.0,954.0,972.0,952.0,1001.0,1033.0,1124.0,1183.0,1176.0,1233.0,1289.0,1355.0,1557.0,1618.0,1655.0,1621.0,1689.0,1770.0,1784.0,1703.0,1783.0,1818.0,1961.0,1957.0,1967.0,2106.0,2209.0,2290.0,2315.0,2341.0,2493.0,2562.0,2801.0,2907.0,3125.0,2780.0,3148.0,3221.0,3221.0,3514.0,3616.0,3909,4071
New Zealand,7625.0,7805.0,7786.0,7853.0,7952.0,8341.0,7923.0,8525.0,8691.0,8658.0,8517.0,8384.0,8637.0,8527.0,8336.0,8559.0,8295.0,8236.0,7646.0,7884.0,7982.0,8441.0,8186.0,8812.0,8990.0,8989.0,9259.0,9021.0,8669.0,9247.0,8848.0,8285.0,9104.0,9618.0,9824.0,10343.0,9467.0,8835.0,9113.0,9097.0,9473.0,9345.0,9360.0,9705.0,9766.0,10131.0,10394.0,10894.0,10588.0,10647.0,10881.0,10945,11071
Norway,8996.0,9174.0,9233.0,8912.0,9398.0,9990.0,8892.0,9444.0,9674.0,10425.0,10051.0,10533.0,10804.0,10942.0,9824.0,10542.0,10754.0,10917.0,10888.0,11552.0,11476.0,11671.0,11528.0,11400.0,11660.0,11855.0,12493.0,11969.0,12580.0,11733.0,12178.0,12819.0,13035.0,13702.0,13461.0,13476.0,14303.0,13585.0,13593.0,13952.0,14152.0,13846.0,14370.0,15024.0,14873.0,14877.0,15400.0,16586.0,16033.0,15117.0,15435.0,15321,15228
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2231.0,2451.0,2568.0,2636.0,2851.0,3100.0,2750.0,2569.0,2931.0,3188.0,3133.0,3291.0,3316.0,3509.0,3595.0,3689.0,3812.0,4050.0,4231.0,4693.0,5045.0,5217.0,5948,6297
Panama,1377.0,1400.0,1459.0,1562.0,1605.0,1600.0,1671.0,1826.0,1970.0,1847.0,2038.0,1932.0,2055.0,2216.0,2247.0,2188.0,2229.0,2231.0,2308.0,2341.0,2359.0,2392.0,2491.0,2608.0,2645.0,2645.0,2861.0,2650.0,2884.0,2794.0,2726.0,3066.0,2929.0,3162.0,3251.0,3450.0,3331.0,3559.0,3547.0,3724.0,3809.0,4018.0,4130.0,4084.0,4360.0,4320.0,4697.0,4604.0,4865.0,5024.0,5167.0,5464,5560
