Element,Item,Average
Food,Alcoholic Beverages,470.92452830188677
Food,Beer,418.8679245283019
Food,Cereals - Excluding Beer,459.9811320754717
Food,Fruits - Excluding Wine,280.0943396226415
Food,Meat,299.64150943396226
Food,Milk - Excluding Butter,2091.5471698113206
Food,"Oranges, Mandarines",108.37735849056604
Food,Pigmeat,115.88679245283019
Food,Potatoes and products,427.5660377358491
Food,Starchy Roots,427.58490566037733
Food,Sugar & Sweeteners,164.28301886792454
Food,Sugar (Raw Equivalent),144.45283018867926
Food,Vegetables,246.41509433962264
Food,"Vegetables, Other",191.50943396226415
Food,Wheat and products,388.22641509433964
